caseid,task,start_timestamp,end_timestamp,resource
5,A_PREACCEPTED,2022-07-05 21:32:47.56,2022-07-05 22:13:25.281,SYSTEM
3,W_Complete_preaccepted_appl,2022-07-05 22:04:23.39,2022-07-05 22:20:52.231,SYSTEM
3,A_ACCEPTED,2022-07-05 22:20:52.231,2022-07-05 22:24:20.979,SYSTEM
5,W_Complete_preaccepted_appl,2022-07-05 22:13:25.281,2022-07-05 22:24:56.736,SYSTEM
5,A_ACCEPTED,2022-07-05 22:24:56.736,2022-07-05 22:26:24.739,SYSTEM
4,A_SUBMITTED,2022-07-05 20:11:28.424,2022-07-05 22:34:00.698,SYSTEM
3,A_FINALIZED,2022-07-05 22:24:20.979,2022-07-05 22:37:39.472,SYSTEM
3,O_SELECTED,2022-07-05 22:37:39.472,2022-07-05 22:39:06.44,SYSTEM
9,Start,2022-07-05 22:42:03.28,2022-07-05 22:42:03.28,SYSTEM
2,O_ACCEPTED,2022-07-05 21:51:38.394,2022-07-05 22:43:59.419,SYSTEM
3,O_CREATED,2022-07-05 22:39:06.44,2022-07-05 22:44:36.794,SYSTEM
6,W_Fix_incomplete_submission,2022-07-05 21:56:16.734,2022-07-05 22:52:55.765,SYSTEM
5,A_FINALIZED,2022-07-05 22:26:24.739,2022-07-05 22:58:26.858,SYSTEM
4,A_PARTLYSUBMITTED,2022-07-05 22:34:00.698,2022-07-05 23:06:07.271,SYSTEM
4,W_Fix_incomplete_submission,2022-07-05 23:06:07.271,2022-07-05 23:12:16.346,SYSTEM
2,A_APPROVED,2022-07-05 22:43:59.419,2022-07-05 23:16:05.752,SYSTEM
1,O_ACCEPTED,2022-07-05 20:55:43.8,2022-07-05 23:17:51.519,SYSTEM
10,Start,2022-07-05 23:17:54.849,2022-07-05 23:17:54.849,SYSTEM
9,A_SUBMITTED,2022-07-05 22:42:03.28,2022-07-05 23:18:49.148,SYSTEM
5,O_SELECTED,2022-07-05 22:58:26.858,2022-07-05 23:19:19.118,SYSTEM
7,A_SUBMITTED,2022-07-05 21:03:16.384,2022-07-05 23:21:33.007,SYSTEM
7,A_PARTLYSUBMITTED,2022-07-05 23:21:33.007,2022-07-05 23:22:36.316,SYSTEM
5,O_CREATED,2022-07-05 23:19:19.118,2022-07-05 23:25:02.212,SYSTEM
2,A_REGISTERED,2022-07-05 23:16:05.752,2022-07-05 23:31:46.19,SYSTEM
9,A_PARTLYSUBMITTED,2022-07-05 23:18:49.148,2022-07-05 23:35:08.28,SYSTEM
3,O_SENT,2022-07-05 22:44:36.794,2022-07-05 23:35:55.903,SYSTEM
7,W_Fix_incomplete_submission,2022-07-05 23:22:36.316,2022-07-05 23:40:30.383,SYSTEM
3,W_Call_after_offer,2022-07-05 23:35:55.903,2022-07-05 23:46:15.495,SYSTEM
3,O_SENT_BACK,2022-07-05 23:46:15.495,2022-07-05 23:46:22.203,SYSTEM
9,W_Fix_incomplete_submission,2022-07-05 23:35:08.28,2022-07-05 23:49:21.63,SYSTEM
6,A_PREACCEPTED,2022-07-05 22:52:55.765,2022-07-06 00:04:19.704,SYSTEM
3,W_Assess_application,2022-07-05 23:46:22.203,2022-07-06 00:07:36.083,SYSTEM
7,A_PREACCEPTED,2022-07-05 23:40:30.383,2022-07-06 00:08:38.081,SYSTEM
10,A_SUBMITTED,2022-07-05 23:17:54.849,2022-07-06 00:09:24.158,SYSTEM
9,A_PREACCEPTED,2022-07-05 23:49:21.63,2022-07-06 00:10:52.482,SYSTEM
5,O_SENT,2022-07-05 23:25:02.212,2022-07-06 00:17:58.376,SYSTEM
11,Start,2022-07-06 00:18:16.568,2022-07-06 00:18:16.568,SYSTEM
7,W_Complete_preaccepted_appl,2022-07-06 00:08:38.081,2022-07-06 00:19:07.653,SYSTEM
7,A_ACCEPTED,2022-07-06 00:19:07.653,2022-07-06 00:19:20.56,SYSTEM
5,W_Call_after_offer,2022-07-06 00:17:58.376,2022-07-06 00:24:17.488,SYSTEM
8,A_SUBMITTED,2022-07-05 21:41:19.038,2022-07-06 00:35:54.416,SYSTEM
3,W_Call_missing_information,2022-07-06 00:07:36.083,2022-07-06 00:37:11.692,SYSTEM
5,O_SENT_BACK,2022-07-06 00:24:17.488,2022-07-06 00:38:10.637,SYSTEM
6,W_Complete_preaccepted_appl,2022-07-06 00:04:19.704,2022-07-06 00:46:05.733,SYSTEM
5,W_Assess_application,2022-07-06 00:38:10.637,2022-07-06 00:47:21.938,SYSTEM
11,A_SUBMITTED,2022-07-06 00:18:16.568,2022-07-06 00:56:19.628,SYSTEM
11,A_PARTLYSUBMITTED,2022-07-06 00:56:19.628,2022-07-06 00:59:07.178,SYSTEM
8,A_PARTLYSUBMITTED,2022-07-06 00:35:54.416,2022-07-06 01:01:15.475,SYSTEM
1,A_APPROVED,2022-07-05 23:17:51.519,2022-07-06 01:02:26.521,SYSTEM
5,W_Call_missing_information,2022-07-06 00:47:21.938,2022-07-06 01:08:08.177,SYSTEM
11,W_Fix_incomplete_submission,2022-07-06 00:59:07.178,2022-07-06 01:10:02.281,SYSTEM
2,A_ACTIVATED,2022-07-05 23:31:46.19,2022-07-06 01:12:16.938,SYSTEM
2,End,2022-07-06 01:12:16.938,2022-07-06 01:12:16.938,SYSTEM
5,O_ACCEPTED,2022-07-06 01:08:08.177,2022-07-06 01:12:26.481,SYSTEM
1,A_REGISTERED,2022-07-06 01:02:26.521,2022-07-06 01:15:53.139,SYSTEM
6,A_ACCEPTED,2022-07-06 00:46:05.733,2022-07-06 01:28:30.176,SYSTEM
10,A_PARTLYSUBMITTED,2022-07-06 00:09:24.158,2022-07-06 01:36:24.54,SYSTEM
10,W_Fix_incomplete_submission,2022-07-06 01:36:24.54,2022-07-06 01:41:13.023,SYSTEM
10,A_PREACCEPTED,2022-07-06 01:41:13.023,2022-07-06 01:48:02.211,SYSTEM
9,W_Complete_preaccepted_appl,2022-07-06 00:10:52.482,2022-07-06 01:54:44.321,SYSTEM
6,A_FINALIZED,2022-07-06 01:28:30.176,2022-07-06 01:56:12.182,SYSTEM
8,W_Fix_incomplete_submission,2022-07-06 01:01:15.475,2022-07-06 01:56:27.627,SYSTEM
