loss,sim_metric,n_size,l_size,lstm_act,dense_act,model_type,norm_method,scale_args,optim,output
2.8465704917907715,val_loss,15,50,tanh,linear,shared_cat_cx,max,"{'dur': {'max_value': 220595.218}, 'wait': {'max_value': 405534.85}}",Nadam,output_files/20210208_215EA975_AB61_4418_9ED7_E414252D9ADB/20210208_D88DC8A6_8F80_4966_8C75_B651498A9380
4.369933605194092,val_loss,10,100,selu,linear,shared_cat_cx,lognorm,"{'dur': {'max_value': 12.304089241502265, 'min_value': 0.0}, 'wait': {'max_value': 12.912964558000873, 'min_value': 0.0}}",Nadam,output_files/20210208_215EA975_AB61_4418_9ED7_E414252D9ADB/20210208_DA94D091_4968_4CC7_ABC9_578237797D90
2.340878963470459,val_loss,10,100,selu,linear,concatenated_cx,lognorm,"{'dur': {'max_value': 12.304089241502265, 'min_value': 0.0}, 'wait': {'max_value': 12.912964558000873, 'min_value': 0.0}}",Nadam,output_files/20210208_215EA975_AB61_4418_9ED7_E414252D9ADB/20210208_66A57C33_4A2E_4BA1_8D39_D183823FD613
2.8244640827178955,val_loss,10,50,tanh,linear,shared_cat_cx,lognorm,"{'dur': {'max_value': 12.304089241502265, 'min_value': 0.0}, 'wait': {'max_value': 12.912964558000873, 'min_value': 0.0}}",Nadam,output_files/20210208_215EA975_AB61_4418_9ED7_E414252D9ADB/20210208_4E4FF43F_5858_4CDD_BD97_9E3CABE6FC8A
3.863896131515503,val_loss,10,100,tanh,linear,shared_cat_cx,max,"{'dur': {'max_value': 220595.218}, 'wait': {'max_value': 405534.85}}",Nadam,output_files/20210208_215EA975_AB61_4418_9ED7_E414252D9ADB/20210208_5EBBB88E_D467_4CD0_AFE1_616F1A253195
2.7503528594970703,val_loss,10,50,tanh,linear,concatenated_cx,lognorm,"{'dur': {'max_value': 12.304089241502265, 'min_value': 0.0}, 'wait': {'max_value': 12.912964558000873, 'min_value': 0.0}}",Nadam,output_files/20210208_215EA975_AB61_4418_9ED7_E414252D9ADB/20210208_9943DB42_A017_4D31_AE3E_FDDC93FC8145
3.517261028289795,val_loss,10,50,selu,linear,shared_cat_cx,lognorm,"{'dur': {'max_value': 12.304089241502265, 'min_value': 0.0}, 'wait': {'max_value': 12.912964558000873, 'min_value': 0.0}}",Nadam,output_files/20210208_215EA975_AB61_4418_9ED7_E414252D9ADB/20210208_B46CA262_4AB7_46EE_847D_02689AFCB116
3.147411584854126,val_loss,15,50,selu,linear,shared_cat_cx,lognorm,"{'dur': {'max_value': 12.304089241502265, 'min_value': 0.0}, 'wait': {'max_value': 12.912964558000873, 'min_value': 0.0}}",Nadam,output_files/20210208_215EA975_AB61_4418_9ED7_E414252D9ADB/20210208_40411E56_C2DC_4841_B5F1_F0FE7A7F4642
2.4841604232788086,val_loss,10,50,selu,linear,concatenated_cx,max,"{'dur': {'max_value': 220595.218}, 'wait': {'max_value': 405534.85}}",Nadam,output_files/20210208_215EA975_AB61_4418_9ED7_E414252D9ADB/20210208_19062E64_7B9C_4AD3_9F78_3115881D1732
3.6619789600372314,val_loss,15,100,tanh,linear,concatenated_cx,lognorm,"{'dur': {'max_value': 12.304089241502265, 'min_value': 0.0}, 'wait': {'max_value': 12.912964558000873, 'min_value': 0.0}}",Nadam,output_files/20210208_215EA975_AB61_4418_9ED7_E414252D9ADB/20210208_8BE0DCEE_8067_41CC_AA17_3F230D48A5BE
4.014159202575684,val_loss,15,100,selu,linear,shared_cat_cx,max,"{'dur': {'max_value': 220595.218}, 'wait': {'max_value': 405534.85}}",Nadam,output_files/20210208_215EA975_AB61_4418_9ED7_E414252D9ADB/20210208_4EE41870_4ADF_4B0D_A724_55102D243AE8
2.970271348953247,val_loss,15,50,tanh,linear,concatenated_cx,max,"{'dur': {'max_value': 220595.218}, 'wait': {'max_value': 405534.85}}",Nadam,output_files/20210208_215EA975_AB61_4418_9ED7_E414252D9ADB/20210208_14FE998C_9096_4C32_BCAC_535961B800A0
3.2430851459503174,val_loss,10,100,tanh,linear,concatenated_cx,max,"{'dur': {'max_value': 220595.218}, 'wait': {'max_value': 405534.85}}",Nadam,output_files/20210208_215EA975_AB61_4418_9ED7_E414252D9ADB/20210208_10294713_D28E_4843_9D19_F4E169BD780F
2.922807216644287,val_loss,15,50,tanh,linear,shared_cat_cx,lognorm,"{'dur': {'max_value': 12.304089241502265, 'min_value': 0.0}, 'wait': {'max_value': 12.912964558000873, 'min_value': 0.0}}",Nadam,output_files/20210208_215EA975_AB61_4418_9ED7_E414252D9ADB/20210208_0F440A6D_6B6E_4553_9C62_4A0A17D5B8B1
4.44837760925293,val_loss,15,100,tanh,linear,shared_cat_cx,max,"{'dur': {'max_value': 220595.218}, 'wait': {'max_value': 405534.85}}",Nadam,output_files/20210208_215EA975_AB61_4418_9ED7_E414252D9ADB/20210208_1B23F0C2_7826_486D_81D2_BD846C0851FE
1.7871094942092896,val_loss,10,50,selu,linear,concatenated_cx,lognorm,"{'dur': {'max_value': 12.304089241502265, 'min_value': 0.0}, 'wait': {'max_value': 12.912964558000873, 'min_value': 0.0}}",Nadam,output_files/20210208_215EA975_AB61_4418_9ED7_E414252D9ADB/20210208_A13F481B_FADA_4642_BD32_37A7D1D6661C
2.869041681289673,val_loss,10,100,tanh,linear,concatenated_cx,lognorm,"{'dur': {'max_value': 12.304089241502265, 'min_value': 0.0}, 'wait': {'max_value': 12.912964558000873, 'min_value': 0.0}}",Nadam,output_files/20210208_215EA975_AB61_4418_9ED7_E414252D9ADB/20210208_7A9BF53E_D22C_4273_A09E_A0419DBBB737
3.2235164642333984,val_loss,15,50,selu,linear,shared_cat_cx,max,"{'dur': {'max_value': 220595.218}, 'wait': {'max_value': 405534.85}}",Nadam,output_files/20210208_215EA975_AB61_4418_9ED7_E414252D9ADB/20210208_3E42B665_8665_4E54_B8F5_052B4923E3EC
1.7159427404403687,val_loss,15,100,selu,linear,concatenated_cx,max,"{'dur': {'max_value': 220595.218}, 'wait': {'max_value': 405534.85}}",Nadam,output_files/20210208_215EA975_AB61_4418_9ED7_E414252D9ADB/20210208_219A21B7_8996_4561_9558_E9EF514FAFA0
4.881933212280273,val_loss,15,100,selu,linear,shared_cat_cx,lognorm,"{'dur': {'max_value': 12.304089241502265, 'min_value': 0.0}, 'wait': {'max_value': 12.912964558000873, 'min_value': 0.0}}",Nadam,output_files/20210208_215EA975_AB61_4418_9ED7_E414252D9ADB/20210208_BE59062E_48EC_4593_8943_B89A7E38B100
3.599504232406616,val_loss,15,100,tanh,linear,concatenated_cx,max,"{'dur': {'max_value': 220595.218}, 'wait': {'max_value': 405534.85}}",Nadam,output_files/20210208_215EA975_AB61_4418_9ED7_E414252D9ADB/20210208_E0AEB4C4_427C_415A_8D03_F8EF1FC5A293
1.4913591146469116,val_loss,15,50,selu,linear,concatenated_cx,max,"{'dur': {'max_value': 220595.218}, 'wait': {'max_value': 405534.85}}",Nadam,output_files/20210208_215EA975_AB61_4418_9ED7_E414252D9ADB/20210208_91E1BBAD_08A0_4DC1_A2C6_72DC7C7016C1
1.1018821001052856,val_loss,15,50,selu,linear,concatenated_cx,lognorm,"{'dur': {'max_value': 12.304089241502265, 'min_value': 0.0}, 'wait': {'max_value': 12.912964558000873, 'min_value': 0.0}}",Nadam,output_files/20210208_215EA975_AB61_4418_9ED7_E414252D9ADB/20210208_70067DC5_4A22_40E6_A4A0_DABE4DA492DF
